Breite,Hoehe,Zoll,Loadindex,Speedindex,Fabrikat,Profil,Teilenummer,Preis_EUR,Bestand,Kraftstoffeffizienz,Nasshaftung,Geräuschklasse
135,80,13,70,T,Hankook,Winter icept RS 2 W452,ZTW135803TH2R0,100.0,18.0,B,B,70.0
145,80,13,75,Q,Continental,WinterContact TS 800,ZTW145803QC800,100.0,20.0,B,B,70.0
145,80,13,74,Q,Pirelli,Winter 160,ZTW145803QPZ00,100.0,20.0,B,B,70.0
145,80,13,75,T,Hankook,Winter icept RS W442,ZTW145803THRS1,100.0,20.0,B,B,70.0
155,80,13,79,T,Hankook,Winter icept RS W442,ZTW155803THRS1,100.0,20.0,A,A,70.0
175,70,13,82,T,Hankook,Winter icept RS W442,ZTW175703THRS0,62.01111111111111,5.0,,,70.0
175,70,13,82,T,Hankook,Winter icept RS W442,ZTW175703THRS1,62.01111111111111,5.0,,,70.0
155,65,13,73,T,Hankook,Winter icept RS W442,ZTW155653THRS0,62.01111111111111,5.0,,,70.0
165,65,13,77,T,Hankook,Winter icept RS W442,ZTW165653THRS0,66.61111111111111,5.0,,,70.0
165,65,13,77,T,Semperit,Master-Grip 2,ZTW165653TSM20,51.022222222222226,5.0,,,70.0
