Datum;Breite;Höhe;R;Zoll;RF;Speed_Index;Load_Index;Fabrikat;Profil;Teilenummer;Preis_Leasing_Netto
01.01.2025;185;65;R;15;XL;V;92;Bridgestone;Weather Control A005 Evo;ZTR176655HB5V0;86.92
01.01.2025;195;65;R;15;XL;W;91;Bridgestone;Unbekannt;ZTR186655VB5V0;76.47
01.01.2025;195;65;R;15;XL;V;95;Bridgestone;Weather Control A005 Evo;ZTR195655HB5V0;77.22
01.01.2025;205;65;R;15;XL;V;99;Bridgestone;Weather Control A005 Evo;ZTR196655VB5V0;83.83
01.01.2025;215;65;R;16;XL;H;102;Bridgestone;Weather Control A005 Evo;ZTR206655VB5V0;110.96
01.01.2025;215;65;R;17;XL;V;103;Bridgestone;Weather Control A005 Evo;ZTR216656HBZ00;128.19
01.01.2025;215;65;R;17;XL;V;103;Bridgestone;Weather Control A005 Evo;ZTR216657VB5V0;146.34
01.01.2025;185;60;R;15;XL;V;88;Bridgestone;Turanza All Season 6;ZTR216657VBZ00;144.28
01.01.2025;195;60;R;15;XL;V;92;Bridgestone;Weather Control A005 Evo;ZTR186605VB5V0;100.20
01.01.2025;195;60;R;15;XL;V;92;Bridgestone;Weather Control A005 Evo;ZTR196605VB5V0;96.16
01.01.2025;195;60;R;15;XL;V;92;Bridgestone;Weather Control A005;ZTR196605VBA52;95.51
01.01.2025;195;60;R;16;XL;H;93;Bridgestone;Weather Control A005;ZTR196605VBA51;93.99
01.01.2025;195;60;R;16;XL;V;93;Bridgestone;Weather Control A005 Evo;ZTR196606HBA50;145.62
01.01.2025;195;60;R;16;XL;V;93;Bridgestone;Weather Control A005 Evo;ZTR196606VB5V0;131.74
01.01.2025;205;60;R;16;XL;H;96;Bridgestone;Turanza All Season 6;ZTR196606VBZ00;130.21
01.01.2025;205;60;R;16;XL;V;96;Bridgestone;Weather Control A005;ZTR206606HBA50;120.07
01.01.2025;205;60;R;16;XL;V;96;Bridgestone;Weather Control A005 Evo;ZTR206606VB5V0;126.07
01.01.2025;205;60;R;16;XL;V;96;Bridgestone;Weather Control A005;ZTR206606VBA52;136.56
01.01.2025;205;60;R;16;XL;V;96;Bridgestone;Weather Control A005;ZTR206606VBA51;139.47
01.01.2025;215;60;R;16;XL;V;99;Bridgestone;Turanza All Season 6;ZTR206606VBZ00;120.07
01.01.2025;225;60;R;16;XL;W;102;Bridgestone;Turanza All Season 6;ZTR216606VBZ00;144.64
01.01.2025;225;60;R;16;XL;W;102;Bridgestone;Weather Control A005 Evo;ZTR226606WB5V0;170.46
